% COMP30120 2015 - Assignment 1
% Dataset restaurant for student ID number 14210231
@relation restaurant-14210231

@attribute restaurant_id numeric
@attribute ave_helpfulness_user numeric
@attribute stdev_helpfulness_user numeric
@attribute reviews_exceed_min_helpfulness numeric
@attribute num_reviews_user numeric
@attribute num_reviews_restaurant numeric
@attribute rating_user numeric
@attribute number_submitted_by_user numeric
@attribute sub_rating_mean_user numeric
@attribute sub_rating_std_user numeric
@attribute ave_rating_user numeric
@attribute stdev_rating_user numeric
@attribute ave_rating_restaurant numeric
@attribute stdev_rating_restaurant numeric
@attribute completeness_1 numeric
@attribute completeness_2 numeric
@attribute completeness_3 numeric
@attribute number_words numeric
@attribute percentage_alpha numeric
@attribute fraction_upper_case numeric
@attribute fraction_you_vs_i numeric
@attribute fraction_quoted_words numeric
@attribute percentage_quoted_alpha_chars numeric
@attribute fraction_quoted_upper_case numeric
@attribute class {helpful,unhelpful}

@data
7081,0.857143,0,1,1,331,5,0,0,0,5,0,3.694864,1.262731,0,0,0,346,0.784369,0.035614,0.181818,2,0.882353,0.133333,helpful
4563,0.475,0.340343,0.5,4,86,3,4,2.75,0.957427,3,0.816497,3.244186,1.273587,2,0,1,0,0,0,0,7,0.765957,0.055556,helpful
9115,0.708517,0.401351,0.375,16,12,4,0,0,0,3.75,1.125463,3.666667,1.230915,2,0,0,60,0.810105,0.027957,1,1,0.777778,0.142857,helpful
5699,0.728409,0.334488,0.625,8,164,5,0,0,0,4.625,0.744024,4.518293,0.909881,2,0,0,20,0.805263,0.019608,0,2,0.909091,0,unhelpful
5092,0.927536,0.090507,1,3,25,1,4,1,0,2.666667,1.527525,2.72,1.594783,2,0,0,227,0.785752,0.034251,0.153846,2,0.894737,0.117647,helpful
3548,0.79323,0.365919,0.318182,44,400,2,6,2.333333,1.032796,3.613636,1.204949,4.255,0.898328,5,2,4,142,0.78,0.047009,0,2,0.909091,0.1,helpful
4080,0.471154,0.479132,0.076923,13,21,4,7,4.714286,0.48795,3.692308,0.751068,4.52381,0.872872,5,0,2,66,0.795666,0.040856,0.5,6,0.837209,0.027778,unhelpful
3222,0.432401,0.498983,0.363636,11,214,4,4,3.5,0.57735,4.181818,0.750757,3.060748,1.321918,2,0,1,152,0.776325,0.024322,1,2,0.823529,0.142857,helpful
7435,0.503312,0.42767,0.5,12,5,1,0,0,0,3.083333,1.083625,1.8,1.30384,0,0,0,20,0.798742,0.007874,0,3,0.857143,0.25,helpful
2125,0.392548,0.432297,0.20155,129,174,3,4,3.25,0.5,4.178295,1.056598,3.563218,1.119467,2,0,1,46,0.775656,0.027692,0.333333,4,0.888889,0.166667,unhelpful
6305,0.958333,0.083333,0.5,4,234,5,6,5,0,4,2,4.273504,1.028553,5,2,4,76,0.778065,0.034826,0.666667,4,0.83871,0.153846,helpful
3836,0.754762,0.3649,0.47619,21,1697,4,0,0,0,3.285714,1.101946,3.929876,1.100133,0,0,0,80,0.786908,0.040708,1,4,0.806452,0.08,helpful
4651,0.877778,0.187577,0.857143,7,262,5,0,0,0,4.285714,1.496026,2.561069,1.470688,0,0,0,46,0.781903,0.041543,0,1,0.423077,0.090909,unhelpful
1206,0.904433,0.112417,0.857143,7,7,4,0,0,0,4.428571,0.534522,4.571429,0.534522,0,0,0,155,0.76158,0.039356,0.2,3,0.775,0.064516,helpful
8226,0.634936,0.450407,0.230769,26,238,4,7,4.571429,0.786796,3.538462,1.174079,4.151261,1.040437,5,2,4,196,0.780584,0.029475,0.333333,3,0.84,0.142857,helpful
1451,0.839718,0.250373,0.625,24,80,3,6,2.5,1.048809,3.208333,0.977093,4.45,0.898663,5,2,2,136,0.78464,0.036327,0,3,0.882353,0.1,unhelpful
5361,0.68232,0.415599,0.324324,37,100,3,0,0,0,3.459459,0.930788,3.67,1.128644,0,0,0,71,0.759547,0.027933,0.285714,4,0.736842,0.071429,helpful
2001,0.75,0.273861,0.5,6,12,4,6,4,0.632456,3.833333,0.983192,3.833333,1.114641,5,2,4,238,0.789327,0.055262,0,4,0.833333,0.166667,helpful
8709,1,0,0.5,2,10,3,4,3.5,0.57735,4,1.414214,3,0.816497,2,0,1,62,0.786496,0.037123,0,3,0.882353,0.2,helpful
7103,0.571429,0,1,1,426,1,7,1.428571,1.133893,1,0,4.600939,0.809008,5,2,3,106,0.795775,0.021492,0,7,0.833333,0.25,unhelpful
4293,0.714286,0,1,1,222,1,7,1.714286,1.253566,1,0,3.234234,1.247295,2,0,0,169,0.789835,0.032174,0,4,0.84,0.047619,unhelpful
2632,0.631525,0.434626,0.321429,28,140,3,0,0,0,4,1.217161,3.578571,1.205908,0,0,0,214,0.77534,0.030323,0.142857,4,0.829268,0.147059,unhelpful
5760,0.927731,0.110937,0.666667,3,80,5,4,5,0,5,0,4.325,1.133774,2,0,0,253,0.788266,0.029099,0.117647,3,0.863636,0.105263,helpful
6290,0.533571,0.449504,0.1875,16,260,5,0,0,0,3.9375,0.853913,4.461538,0.821091,0,0,0,439,0.781777,0.023825,0,2,0.875,0.071429,unhelpful
8953,0.793071,0.25018,0.534483,58,174,2,4,2.5,0.57735,3.137931,1.369444,3.701149,1.427354,2,0,0,39,0.781579,0.026936,0,1,0.8,0.25,unhelpful
5613,0.904762,0.164957,0.333333,3,271,2,0,0,0,4,1.732051,3.656827,1.312454,0,0,0,110,0.792026,0.023129,0,4,0.833333,0.2,unhelpful
6547,0.772487,0.377321,0.5,12,233,5,0,0,0,4.333333,0.887625,4.467811,1.09073,2,0,0,158,0.791888,0.012594,0.5,1,1,0.083333,helpful
7615,0.835492,0.31519,0.4,20,113,5,7,5,0,4.5,0.760886,4.256637,1.006929,5,2,4,131,0.76898,0.035032,0.8,2,0.857143,0.083333,helpful
2485,0.559027,0.453004,0.275862,58,36,5,0,0,0,4.137931,0.867509,4.444444,1.02663,0,0,0,37,0.780423,0.050847,1,3,0.875,0.142857,helpful
8087,0.973684,0.052632,0.25,4,68,2,4,1.75,0.5,3,1.825742,3.147059,1.478853,2,0,1,297,0.78011,0.018414,0.666667,2,0.882353,0.133333,helpful
6983,0.831661,0.237499,0.681159,69,1899,4,0,0,0,4.028986,1.124212,3.516588,1.208991,2,0,0,35,0.733042,0.023881,0,3,0.8,0.05,helpful
7131,0.833333,0.235702,0.75,4,598,4,0,0,0,3.75,0.957427,3.553512,1.213953,0,0,0,53,0.804527,0.040921,0.2,2,0.928571,0.076923,helpful
3664,0.671989,0.443853,0.222222,72,29,4,0,0,0,3.888889,0.881029,3.724138,1.161789,2,0,0,85,0.796837,0.019847,0.428571,3,0.75,0.380952,helpful
9161,1,0,0.666667,3,16,5,4,4,0,4.333333,0.57735,4.5,1.032796,2,0,1,182,0.788474,0.025703,0.5,6,0.815789,0.096774,helpful
2007,0.924615,0.129907,0.8,5,295,4,4,4.25,0.5,4.4,0.547723,3.715254,1.198186,2,0,1,161,0.769489,0.029694,0.857143,5,0.826087,0.052632,unhelpful
8324,0.878571,0.315959,0.3,10,181,1,0,0,0,4.4,1.264911,3.563536,1.438594,0,0,0,406,0.783917,0.023378,0,2,0.777778,0.285714,helpful
9232,0.589983,0.058826,1,2,37,5,0,0,0,4.5,0.707107,3.972973,1.092563,0,0,0,71,0.784195,0.021318,0.75,3,0.904762,0.052632,unhelpful
3491,0.668003,0.380327,0.65,20,39,5,4,5,0,4.55,0.759155,4.076923,1.08542,2,0,1,265,0.774594,0.04307,0.333333,2,0.809524,0.058824,helpful
7989,0.611111,0.078567,0.5,2,598,5,0,0,0,3,2.828427,3.553512,1.213953,0,0,0,20,0.803109,0.032258,0,2,0.833333,0.133333,unhelpful
1360,0.49219,0.413806,0.571429,14,249,4,4,5,0,3.642857,1.645841,4.040161,0.936703,2,0,1,26,0.794643,0.039326,0,2,0.909091,0.1,unhelpful
8461,0.727961,0.34742,0.471698,53,176,5,7,4.428571,0.786796,3.830189,1.236245,4.528409,0.777755,5,2,4,180,0.798731,0.035379,0,2,0.913043,0.142857,helpful
9556,1,0,1,1,177,4,4,3.5,0.57735,4,0,3.932203,1.063833,2,0,1,214,0.772935,0.02623,0.75,2,0.888889,0.125,helpful
